Date,Borough,Outcome type_Formal action is not in the public interest,Outcome type_Investigation complete; no suspect identified,Outcome type_Local resolution,Outcome type_Offender given a caution,Outcome type_Offender given a drugs possession warning,Outcome type_Offender given penalty notice,Outcome type_Suspect charged,Outcome type_Suspect charged as part of another case,Outcome type_Unable to prosecute suspect,Total
2022-09-01,East Lindsey,0,1,0,0,0,0,0,0,0,1
2022-09-01,Eastbourne,0,1,0,0,0,0,0,0,0,1
2022-09-01,Elmbridge,0,9,0,1,0,0,0,0,0,10
2022-09-01,Enfield,0,3357,37,15,0,15,124,0,0,3548
2022-09-01,Epping Forest,0,21,1,0,0,0,2,0,0,24
2022-09-01,Epsom and Ewell,0,11,0,0,0,0,1,0,0,12
2022-09-01,Exeter,0,4,0,0,0,0,0,0,0,4
2022-09-01,Gravesham,0,2,0,0,0,0,0,0,0,2
2022-09-01,Greenwich,0,1536,42,20,0,9,70,0,0,1677
2022-09-01,Guildford,0,1,0,0,0,0,0,0,0,1
2022-09-01,Hackney,0,2332,44,21,0,21,130,0,0,2548
2022-09-01,Hammersmith and Fulham,0,3910,49,7,0,4,72,0,0,4042
2022-09-01,Haringey,0,3360,46,28,0,13,123,0,0,3570
2022-09-01,Harlow,0,1,0,1,0,0,0,0,0,2
2022-09-01,Harrow,0,1598,34,8,0,1,62,0,0,1703
2022-09-01,Hastings,0,1,0,0,0,0,0,0,0,1
2022-09-01,Havant,0,3,0,0,0,0,0,0,0,3
2022-09-01,Havering,0,1647,49,17,0,12,102,0,0,1827
2022-09-01,Herefordshire,0,1,0,0,0,0,0,0,0,1
2022-09-01,Hertsmere,0,13,0,1,0,0,0,0,0,14
2022-09-01,Hillingdon,0,1250,106,13,0,15,114,0,0,1498
2022-09-01,Hinckley and Bosworth,0,1,0,0,0,0,0,0,0,1
2022-09-01,Hounslow,0,2971,33,14,0,11,122,0,0,3151
2022-09-01,Islington,0,3346,33,12,0,11,120,0,0,3522
2022-09-01,Kensington and Chelsea,0,4002,60,7,0,13,75,0,0,4157
2022-09-01,Kingston upon Thames,0,1240,28,8,0,6,52,0,0,1334
2022-09-01,Knowsley,0,3,0,0,0,0,0,0,0,3
2022-09-01,Lambeth,0,2866,51,29,0,6,138,0,0,3090
2022-09-01,Lancaster,0,1,0,0,0,0,0,0,0,1
2022-09-01,Leeds,0,7,0,0,0,0,0,0,0,7
2022-09-01,Lewisham,0,2625,52,9,0,12,114,0,0,2812
2022-09-01,Lichfield,0,1,0,0,0,0,0,0,0,1
2022-09-01,Lincoln,0,1,0,0,0,0,0,0,0,1
2022-09-01,Liverpool,0,3,0,0,0,0,0,0,0,3
2022-09-01,Luton,0,8,0,0,0,0,2,0,0,10
2022-09-01,Maidstone,0,2,0,0,0,0,0,0,0,2
2022-09-01,Manchester,0,2,0,0,0,0,0,0,0,2
2022-09-01,Medway,0,14,0,0,0,0,0,0,0,14
2022-09-01,Mendip,0,1,0,0,0,0,0,0,0,1
