Date,Borough,Abstraction Type_Aid,Abstraction Type_CAD,Abstraction Type_Court,Abstraction Type_Custody,Abstraction Type_Local Aid,Abstraction Type_Not Abstracted,Abstraction Type_Staffing Up,Abstraction Type_Training
2019-02-01,Richmond,0.0,0.0,1620.0,0.0,2700.0,227880.0,0.0,9960.0
2019-02-01,Southwark,8280.0,0.0,2040.0,0.0,16050.0,332085.0,0.0,14760.0
2019-02-01,Sutton,0.0,0.0,480.0,0.0,0.0,240330.0,0.0,6600.0
2019-02-01,Tower Hamlets,0.0,0.0,2400.0,0.0,4320.0,318045.0,0.0,25050.0
2019-02-01,Waltham Forest,1830.0,0.0,1080.0,0.0,0.0,297345.0,0.0,12240.0
2019-02-01,Wandsworth,2760.0,0.0,420.0,0.0,1290.0,304455.0,0.0,15420.0
2019-02-01,Westminster,1140.0,0.0,0.0,0.0,1620.0,305795.0,0.0,17520.0
2019-03-01,Barking And Dagenham,600.0,0.0,1140.0,0.0,11370.0,352455.0,1080.0,4140.0
2019-03-01,Barnet,5100.0,510.0,2280.0,0.0,29010.0,441508.0,0.0,13500.0
2019-03-01,Bexley,3150.0,0.0,4860.0,720.0,13740.0,340215.0,0.0,26100.0
2019-03-01,Brent,1140.0,0.0,2730.0,0.0,9720.0,309884.0,540.0,11760.0
2019-03-01,Bromley,2820.0,0.0,0.0,0.0,9660.0,361110.0,0.0,7620.0
2019-03-01,Camden,5940.0,0.0,1080.0,0.0,2160.0,407191.0,0.0,13860.0
2019-03-01,Croydon,1560.0,0.0,5415.0,0.0,45420.0,448730.0,0.0,8610.0
2019-03-01,Ealing,15105.0,0.0,720.0,0.0,12930.0,361771.0,0.0,6660.0
2019-03-01,Enfield,3960.0,0.0,1620.0,0.0,8760.0,418365.0,0.0,13320.0
2019-03-01,Greenwich,2670.0,0.0,4620.0,0.0,11820.0,285030.0,0.0,21390.0
2019-03-01,Hackney,600.0,0.0,1980.0,0.0,3000.0,340530.0,0.0,29580.0
2019-03-01,Hammersmith And Fulham,0.0,0.0,1980.0,0.0,0.0,256980.0,0.0,19440.0
2019-03-01,Haringey,8160.0,0.0,0.0,0.0,3330.0,376961.0,0.0,10140.0
2019-03-01,Harrow,0.0,0.0,300.0,0.0,2820.0,257808.0,0.0,7620.0
2019-03-01,Havering,1080.0,0.0,0.0,0.0,12360.0,235034.0,1920.0,6480.0
2019-03-01,Hillingdon,12084.0,0.0,1500.0,0.0,8100.0,252380.0,0.0,6060.0
2019-03-01,Hounslow,21330.0,0.0,540.0,0.0,3840.0,226921.0,1350.0,2160.0
2019-03-01,Islington,4440.0,0.0,2610.0,0.0,1620.0,293940.0,0.0,7620.0
2019-03-01,Kensington And Chelsea,0.0,0.0,1980.0,0.0,1620.0,336675.0,480.0,12510.0
2019-03-01,Kingston,15045.0,0.0,720.0,0.0,6660.0,217755.0,0.0,9420.0
2019-03-01,Lambeth,1560.0,0.0,2655.0,0.0,12660.0,301050.0,600.0,19920.0
2019-03-01,Lewisham,13290.0,0.0,1800.0,0.0,5369.0,299075.0,0.0,19320.0
2019-03-01,Merton,540.0,0.0,2790.0,0.0,0.0,354754.0,0.0,10920.0
2019-03-01,Newham,0.0,0.0,2160.0,0.0,0.0,370706.0,0.0,26730.0
2019-03-01,Redbridge,3900.0,0.0,0.0,0.0,16770.0,322800.0,0.0,6180.0
2019-03-01,Richmond,2700.0,0.0,0.0,0.0,16380.0,230850.0,0.0,9120.0
2019-03-01,Southwark,0.0,0.0,2280.0,0.0,28080.0,347850.0,1620.0,22140.0
2019-03-01,Sutton,0.0,0.0,1080.0,0.0,3000.0,297527.0,0.0,5490.0
2019-03-01,Tower Hamlets,0.0,0.0,3780.0,0.0,180.0,374863.0,0.0,13230.0
2019-03-01,Waltham Forest,1020.0,0.0,1320.0,0.0,2880.0,346075.0,0.0,7050.0
2019-03-01,Wandsworth,1680.0,0.0,4080.0,0.0,0.0,379126.0,0.0,18360.0
2019-03-01,Westminster,1170.0,0.0,1830.0,0.0,0.0,416919.0,0.0,8580.0
2019-04-01,Barking And Dagenham,4530.0,0.0,0.0,660.0,7320.0,324105.0,540.0,16650.0
2019-04-01,Barnet,4320.0,840.0,4500.0,0.0,11220.0,424432.0,0.0,7080.0
2019-04-01,Bexley,3660.0,0.0,1200.0,0.0,10080.0,339210.0,1080.0,11910.0
2019-04-01,Brent,3690.0,0.0,3240.0,0.0,2610.0,342427.0,0.0,5610.0
2019-04-01,Bromley,9240.0,0.0,3420.0,0.0,22425.0,318060.0,540.0,17700.0
2019-04-01,Camden,7380.0,0.0,1080.0,0.0,540.0,338249.0,0.0,16710.0
2019-04-01,Croydon,7410.0,0.0,7560.0,0.0,29280.0,457849.0,0.0,17970.0
2019-04-01,Ealing,3240.0,0.0,1830.0,0.0,9060.0,383909.0,4320.0,14220.0
2019-04-01,Enfield,5820.0,0.0,480.0,0.0,14130.0,404102.0,0.0,5340.0
2019-04-01,Greenwich,1770.0,0.0,4440.0,0.0,9120.0,291225.0,0.0,5820.0
2019-04-01,Hackney,10920.0,360.0,1440.0,0.0,2100.0,358560.0,1620.0,11580.0
2019-04-01,Hammersmith And Fulham,1305.0,0.0,2235.0,0.0,0.0,259847.0,2760.0,4770.0
2019-04-01,Haringey,17520.0,0.0,1980.0,0.0,2340.0,337275.0,0.0,8970.0
2019-04-01,Harrow,60.0,0.0,960.0,0.0,3120.0,225645.0,0.0,1080.0
2019-04-01,Havering,600.0,0.0,0.0,0.0,600.0,214135.0,540.0,7590.0
2019-04-01,Hillingdon,4020.0,0.0,2040.0,0.0,1200.0,258965.0,1080.0,6000.0
2019-04-01,Hounslow,540.0,0.0,420.0,0.0,0.0,244132.0,1080.0,5880.0
2019-04-01,Islington,1620.0,0.0,2130.0,0.0,1080.0,322376.0,1020.0,17460.0
2019-04-01,Kensington And Chelsea,1800.0,0.0,645.0,0.0,1140.0,298371.0,540.0,24840.0
2019-04-01,Kingston,1785.0,0.0,1080.0,0.0,7830.0,184275.0,0.0,16200.0
2019-04-01,Lambeth,7320.0,0.0,9165.0,0.0,11820.0,295576.0,1620.0,14670.0
2019-04-01,Lewisham,6330.0,0.0,540.0,0.0,0.0,310840.0,0.0,10320.0
2019-04-01,Merton,540.0,0.0,2100.0,0.0,540.0,304487.0,0.0,9450.0
2019-04-01,Newham,2820.0,0.0,3210.0,0.0,2820.0,305720.0,0.0,17460.0
2019-04-01,Redbridge,6210.0,0.0,0.0,1080.0,25020.0,303510.0,1080.0,11970.0
2019-04-01,Richmond,3240.0,0.0,540.0,0.0,12960.0,223107.0,0.0,7470.0
2019-04-01,Southwark,6000.0,0.0,2160.0,0.0,4020.0,398439.0,1260.0,7980.0
2019-04-01,Sutton,7080.0,0.0,600.0,0.0,0.0,252390.0,0.0,13200.0
2019-04-01,Tower Hamlets,660.0,0.0,1620.0,0.0,4680.0,342558.0,0.0,13890.0
2019-04-01,Waltham Forest,810.0,0.0,540.0,0.0,540.0,351310.0,0.0,8370.0
2019-04-01,Wandsworth,5760.0,0.0,1140.0,0.0,0.0,342389.0,3900.0,14880.0
2019-04-01,Westminster,4320.0,0.0,2400.0,0.0,3540.0,392949.0,1200.0,9270.0
2019-05-01,Barking And Dagenham,6090.0,0.0,0.0,0.0,13260.0,331731.0,1920.0,27795.0
2019-05-01,Barnet,43020.0,0.0,3120.0,0.0,3600.0,415559.0,0.0,26400.0
2019-05-01,Bexley,3750.0,0.0,1680.0,540.0,7260.0,326910.0,0.0,28800.0
2019-05-01,Brent,22410.0,0.0,2340.0,0.0,1200.0,323839.0,0.0,5730.0
2019-05-01,Bromley,11160.0,0.0,540.0,0.0,26040.0,329730.0,2280.0,21990.0
2019-05-01,Camden,180.0,0.0,3960.0,0.0,5850.0,325230.0,0.0,9360.0
2019-05-01,Croydon,28740.0,0.0,8385.0,0.0,42210.0,394946.0,0.0,47415.0
2019-05-01,Ealing,0.0,0.0,4590.0,0.0,10140.0,372652.0,0.0,15840.0
2019-05-01,Enfield,1800.0,0.0,1080.0,0.0,7560.0,420585.0,0.0,17820.0
2019-05-01,Greenwich,45360.0,0.0,2520.0,0.0,12000.0,198301.0,0.0,30480.0
2019-05-01,Hackney,1080.0,0.0,3600.0,0.0,8340.0,360349.0,0.0,17250.0
2019-05-01,Hammersmith And Fulham,540.0,0.0,1080.0,0.0,3570.0,260085.0,0.0,11040.0
2019-05-01,Haringey,5400.0,0.0,3720.0,0.0,8100.0,362245.0,0.0,15660.0
2019-05-01,Harrow,5280.0,0.0,1920.0,0.0,34200.0,209085.0,0.0,2760.0
2019-05-01,Havering,0.0,0.0,450.0,0.0,15300.0,210330.0,540.0,7440.0
